Manufacturer Name,Part number,Part Description,Distributor,SKU,Stock Quantity,MOQ- Minimum Order Quantity,Packaging,Currency,Price 1,Price 10,Price 25,Price 50,Price 100,Price 200,Price 250,Price 500,Price 1000,Price 2000,Price 3000,Price 4000,Price 5000,Price 10000,Price 50000,Price 100000
RFMD,RF2401,,4 Star Electronics,RF2401,11529,,,,,,,,,,,,,,,,,,,
RFMD,RF3000TR13,,Express Electronics,RF3000TR13,206,,,,,,,,,,,,,,,,,,,
RFMD,RF3000TR13,,Cyclops Electronics,RF3000TR13,1273,,,,,,,,,,,,,,,,,,,
RFMD,RF2323,,Express Electronics,RF2323,2000,,,,,,,,,,,,,,,,,,,
RFMD,RF2323,,Cyclops Electronics,RF2323,2000,,,,,,,,,,,,,,,,,,,
RFMD,RF2421,,Freelance Electronics,RF2421,343,,,USD,0.20000,,,,,,,,,,,,,,,
RFMD,RF2421,,LittleDiode,RF2421,68,,,,,,,,,,,,,,,,,,,
RFMD,RF2494TR13,,Express Electronics,RF2494TR13,2600,,,,,,,,,,,,,,,,,,,
RFMD,RF2494TR13,,Cyclops Electronics,RF2494TR13,2600,,,,,,,,,,,,,,,,,,,
RFMD,RF2721,,4 Star Electronics,RF2721,750,,,,,,,,,,,,,,,,,,,
RFMD,RF2402,,4 Star Electronics,RF2402,4,,,,,,,,,,,,,,,,,,,
RFMD,RF6100-4SR,,NetSource Technology,RF6100-4SR,422,,,,,,,,,,,,,,,,,,,
RFMD,RF9957,,Angenic,RF9957,30,,,,,,,,,,,,,,,,,,,
RFMD,RF2192TR13,,Gerber,RF2192TR13,75,,,USD,5.12000,,,,,,,,,,,,,,,
RFMD,RF9908,,Quest,RF9908,165,,,USD,9.00000,,,,,,,,,,,,,,,
RFMD,RF2703,,AED Electronics,RF2703,90,,,,,,,,,,,,,,,,,,,
RFMD,NBB-400-SR,,4 Star Electronics,NBB-400-SR,2,,,,,,,,,,,,,,,,,,,
RFMD,2066362,,element14 APAC,2066362,1,1,,SGD,412.59000,,,,,,,,,,,,,,,
RFMD,2066362,,Farnell,2066362,1,1,,GBP,187.27000,,,,,,,,,,,,,,,
RFMD,1715339,,Farnell,1715339,1,1,,GBP,48.05000,,,,,,,,,,,,,,,
